author_id,work_id,author_name,work_title,coverage
ggm0001,ggm001,Anonymous,Anametresis Pontou,leg
heb0001,tlg001,Hebrew Bible,Against Euthynus,leg
heb0001,tlg002,Hebrew Bible,Against Callimachus,leg
heb0001,tlg003,Hebrew Bible,Against Lochites,leg
heb0001,tlg004,Hebrew Bible,Concerning the Team of Horses,leg
heb0001,tlg005,Hebrew Bible,Trapeziticus,leg
heb0001,tlg006,Hebrew Bible,Aegineticus,leg
heb0001,tlg007,Hebrew Bible,To Demonicus,leg
heb0001,tlg008,Hebrew Bible,Against the Sophists,leg
heb0001,tlg009,Hebrew Bible,Helen,leg
heb0001,tlg010,Hebrew Bible,Busiris,leg
heb0001,tlg011,Hebrew Bible,Panegyricus,leg
heb0001,tlg012,Hebrew Bible,Plataicus,leg
heb0001,tlg013,Hebrew Bible,To Nicocles,leg
heb0001,tlg014,Hebrew Bible,Nicocles or the Cyprians,leg
heb0001,tlg015,Hebrew Bible,Evagoras,leg
heb0001,tlg016,Hebrew Bible,Archidamus,leg
heb0001,tlg017,Hebrew Bible,On the Peace,leg
heb0001,tlg018,Hebrew Bible,Areopagiticus,leg
heb0001,tlg019,Hebrew Bible,Antidosis,leg
heb0001,tlg020,Hebrew Bible,To Philip,leg
heb0001,tlg021,Hebrew Bible,Panathenaicus,leg
heb0001,tlg022,Hebrew Bible,To Dionysius,leg
heb0001,tlg023,Hebrew Bible,To the Children of Jason,leg
heb0001,tlg024,Hebrew Bible,To Archidamus,leg
heb0001,tlg025,Hebrew Bible,To the Rulers of the Mytilenaeans,leg
heb0001,tlg026,Hebrew Bible,To Timotheus,leg
heb0001,tlg027,Hebrew Bible,"To Philip, I",leg
heb0001,tlg028,Hebrew Bible,To Alexander,leg
heb0001,tlg029,Hebrew Bible,To Antipater,leg
heb0001,tlg030,Hebrew Bible,"To Philip, II",leg
ogl0001,ogl001,"Pinytus, Saint, Bishop of Knossos",De Epistola Pinyti ad Dionysium,leg
stoa0033a,tlg028,Pseudo-Aristotle,De mundo,leg
stoa0033a,tlg043,Pseudo-Aristotle,De spiritu,leg
stoa0121,stoa001,Eutropius,Breviarium historiae romanae,leg
stoa0146d,stoa001,Hegemonius,Acta Archelai,leg
tlg0001,tlg001,APOLLONIUS RHODIUS,APOLLONIUS RHODIUS :: Argonautica :: TLG 0001 001,bot
tlg0001,tlg002,APOLLONIUS RHODIUS,APOLLONIUS RHODIUS :: Fragmenta :: TLG 0001 002,tlg
tlg0001,tlg003,APOLLONIUS RHODIUS,APOLLONIUS RHODIUS :: Epigramma :: TLG 0001 003,tlg
tlg0002,tlg001,THEOGNIS,THEOGNIS :: Elegiae :: TLG 0002 001,tlg
tlg0002,tlg002,THEOGNIS,THEOGNIS :: Fragmenta sedis incertae :: TLG 0002 002,tlg
tlg0002,tlg003,THEOGNIS,THEOGNIS :: Fragmenta dubia :: TLG 0002 003,tlg
tlg0002,tlg004,THEOGNIS,THEOGNIS :: Epigrammata :: TLG 0002 004,tlg
tlg0003,tlg001,THUCYDIDES,THUCYDIDES :: Historiae :: TLG 0003 001,bot
tlg0003,tlg002,THUCYDIDES,THUCYDIDES :: Epigramma :: TLG 0003 002,tlg
tlg0004,tlg001,DIOGENES LAERTIUS,DIOGENES LAERTIUS :: Vitae philosophorum :: TLG 0004 001,bot
tlg0004,tlg002,DIOGENES LAERTIUS,DIOGENES LAERTIUS :: Epigrammata :: TLG 0004 002,tlg
tlg0005,tlg001,THEOCRITUS,THEOCRITUS :: Idyllia :: TLG 0005 001,bot
tlg0005,tlg002,THEOCRITUS,THEOCRITUS :: Epigrammata :: TLG 0005 002,bot
tlg0005,tlg003,THEOCRITUS,THEOCRITUS :: Syrinx :: TLG 0005 003,bot
tlg0005,tlg004,THEOCRITUS,THEOCRITUS :: Fragmentum :: TLG 0005 004,tlg
tlg0005,tlg005,THEOCRITUS,THEOCRITUS :: Epigrammata :: TLG 0005 005,tlg
tlg0006,tlg001,Euripides,Cyclops,leg
tlg0006,tlg002,Euripides,Alcestis,leg
tlg0006,tlg003,Euripides,Medea,leg
tlg0006,tlg004,Euripides,Heracleidae,leg
tlg0006,tlg005,Euripides,Hippolytus,leg
tlg0006,tlg006,Euripides,Andromache,leg
tlg0006,tlg007,Euripides,Hecuba,leg
tlg0006,tlg008,Euripides,Suppliants,leg
tlg0006,tlg009,Euripides,Heracles,leg
tlg0006,tlg010,Euripides,Ion,leg
tlg0006,tlg011,Euripides,The Trojan Women,leg
tlg0006,tlg012,Euripides,Electra,leg
tlg0006,tlg013,Euripides,Iphigenia in Tauris,leg
tlg0006,tlg014,Euripides,Helen,leg
tlg0006,tlg015,Euripides,Phoenissae,leg
tlg0006,tlg016,Euripides,Orestes,leg
tlg0006,tlg017,Euripides,Bacchae,leg
tlg0006,tlg018,Euripides,Iphigenia in Aulis,leg
tlg0006,tlg019,Euripides,Rhesus,leg
tlg0006,tlg020,EURIPIDES,EURIPIDES :: Fragmenta :: TLG 0006 020,bot
tlg0006,tlg021,EURIPIDES,EURIPIDES :: Fragmenta papyracea :: TLG 0006 021,tlg
tlg0006,tlg022,EURIPIDES,EURIPIDES :: Epinicium in Alcibiadem (fragmenta) :: TLG 0006 022,tlg
tlg0006,tlg023,EURIPIDES,EURIPIDES :: Fragmenta Phaethontis :: TLG 0006 023,tlg
tlg0006,tlg024,EURIPIDES,EURIPIDES :: Fragmenta Antiopes :: TLG 0006 024,tlg
tlg0006,tlg025,EURIPIDES,EURIPIDES :: Fragmenta Alexandri :: TLG 0006 025,tlg
tlg0006,tlg026,EURIPIDES,EURIPIDES :: Fragmenta Hypsipyles :: TLG 0006 026,tlg
tlg0006,tlg027,EURIPIDES,EURIPIDES :: Fragmenta Phrixei (P. Oxy. 34.2685) :: TLG 0006 027,tlg
tlg0006,tlg028,EURIPIDES,EURIPIDES :: Fragmenta fabulae incertae :: TLG 0006 028,tlg
tlg0006,tlg029,EURIPIDES,EURIPIDES :: Fragmenta :: TLG 0006 029,tlg
tlg0006,tlg030,EURIPIDES,EURIPIDES :: Fragmenta Oenei :: TLG 0006 030,tlg
tlg0006,tlg031,EURIPIDES,EURIPIDES :: Epigrammata :: TLG 0006 031,tlg
tlg0006,tlg032,EURIPIDES,EURIPIDES :: Fragmenta Phaethontis incertae sedis :: TLG 0006 032,tlg
tlg0006,tlg033,EURIPIDES,EURIPIDES :: Fragmenta :: TLG 0006 033,tlg
tlg0006,tlg034,EURIPIDES,EURIPIDES :: Cyclops :: TLG 0006 034,tlg
tlg0006,tlg035,EURIPIDES,EURIPIDES :: Alcestis :: TLG 0006 035,tlg
tlg0006,tlg036,EURIPIDES,EURIPIDES :: Medea :: TLG 0006 036,tlg
tlg0006,tlg037,EURIPIDES,EURIPIDES :: Heraclidae :: TLG 0006 037,tlg
tlg0006,tlg038,EURIPIDES,EURIPIDES :: Hippolytus :: TLG 0006 038,tlg
tlg0006,tlg039,EURIPIDES,EURIPIDES :: Andromacha :: TLG 0006 039,tlg
tlg0006,tlg040,EURIPIDES,EURIPIDES :: Hecuba :: TLG 0006 040,tlg
tlg0006,tlg041,EURIPIDES,EURIPIDES :: Supplices :: TLG 0006 041,tlg
tlg0006,tlg042,EURIPIDES,EURIPIDES :: Electra :: TLG 0006 042,tlg
tlg0006,tlg043,EURIPIDES,EURIPIDES :: Hercules :: TLG 0006 043,tlg
tlg0006,tlg044,EURIPIDES,EURIPIDES :: Troiades :: TLG 0006 044,tlg
tlg0006,tlg045,EURIPIDES,EURIPIDES :: Iphigenia Taurica :: TLG 0006 045,tlg
tlg0006,tlg046,EURIPIDES,EURIPIDES :: Ion :: TLG 0006 046,tlg
tlg0006,tlg047,EURIPIDES,EURIPIDES :: Helena :: TLG 0006 047,tlg
tlg0006,tlg048,EURIPIDES,EURIPIDES :: Phoenisae :: TLG 0006 048,tlg
tlg0006,tlg049,EURIPIDES,EURIPIDES :: Orestes :: TLG 0006 049,tlg
tlg0006,tlg050,EURIPIDES,EURIPIDES :: Bacchae :: TLG 0006 050,tlg
tlg0006,tlg051,EURIPIDES,EURIPIDES :: Iphigenia Aulidensis :: TLG 0006 051,tlg
tlg0006,tlg052,EURIPIDES,EURIPIDES :: Rhesus :: TLG 0006 052,tlg
tlg0007,tlg001,PLUTARCHUS,PLUTARCHUS :: Theseus :: TLG 0007 001,bot
tlg0007,tlg002,PLUTARCHUS,PLUTARCHUS :: Romulus :: TLG 0007 002,bot
tlg0007,tlg003,PLUTARCHUS,PLUTARCHUS :: Comparatio Thesei et Romuli :: TLG 0007 003,bot
tlg0007,tlg004,PLUTARCHUS,PLUTARCHUS :: Lycurgus :: TLG 0007 004,bot
tlg0007,tlg005,PLUTARCHUS,PLUTARCHUS :: Numa :: TLG 0007 005,bot
tlg0007,tlg006,PLUTARCHUS,PLUTARCHUS :: Comparatio Lycurgi et Numae :: TLG 0007 006,bot
tlg0007,tlg007,PLUTARCHUS,PLUTARCHUS :: Solon :: TLG 0007 007,bot
tlg0007,tlg008,PLUTARCHUS,PLUTARCHUS :: Publicola :: TLG 0007 008,bot
tlg0007,tlg009,PLUTARCHUS,PLUTARCHUS :: Comparatio Solonis et Publicolae :: TLG 0007 009,bot
tlg0007,tlg010,PLUTARCHUS,PLUTARCHUS :: Themistocles :: TLG 0007 010,bot
tlg0007,tlg011,PLUTARCHUS,PLUTARCHUS :: Camillus :: TLG 0007 011,bot
tlg0007,tlg012,PLUTARCHUS,PLUTARCHUS :: Pericles :: TLG 0007 012,bot
tlg0007,tlg013,PLUTARCHUS,PLUTARCHUS :: Fabius Maximus :: TLG 0007 013,bot
tlg0007,tlg014,PLUTARCHUS,PLUTARCHUS :: Comparatio Periclis et Fabii Maximi :: TLG 0007 014,bot
